1,1,1422,2952,230,168,1
1,1,1687,3131,918,591,1
1,1,791,1711,145,141,1
1,1,1102,1636,200,161,1
1,1,3506,1695,212,137,1
1,1,624,1586,97,102,1
1,1,3202,971,358,258,1
2,1,657,1592,184,149,1
2,1,841,1711,130,135,1
2,1,1449,2960,251,183,1
2,1,1677,3140,976,621,1
2,1,1190,1633,177,150,1
2,1,3541,1699,202,136,1
2,1,3213,932,319,222,1
3,1,713,1584,166,109,1
3,1,900,1719,135,143,1
3,1,1241,1625,192,138,1
3,1,1503,2967,273,205,1
3,1,1749,3111,973,589,1
4,1,714,1587,175,116,1
4,1,924,1725,144,144,1
4,1,1292,1630,181,159,1
4,1,1543,2970,263,197,1
4,1,1805,3143,949,614,1
5,1,760,1594,177,124,1
5,1,997,1721,124,135,1
5,1,1327,1629,203,129,1
5,1,1579,3005,288,265,1
5,1,1856,3128,923,605,1
6,1,790,1584,177,114,1
6,1,1029,1725,123,143,1
6,1,1367,1630,195,125,1
6,1,1627,2995,283,243,1
6,1,1868,3122,983,551,1
7,1,817,1588,193,122,1
7,1,1035,1729,174,144,1
7,1,1400,1633,252,169,1
7,1,1682,2984,267,221,1
7,1,1952,3126,903,569,1
8,1,875,1576,130,100,1
8,1,1084,1732,178,156,1
8,1,1730,2993,277,230,1
8,1,1988,3100,924,535,1
8,1,1469,1607,238,148,1
9,1,901,1587,179,121,1
9,1,1139,1732,154,145,1
9,1,1499,1611,244,150,1
9,1,1774,2955,260,181,1
9,1,2026,3102,924,545,1
10,1,917,1593,197,124,1
10,1,1171,1733,141,140,1
10,1,1490,1610,274,146,1
10,1,1790,2967,265,196,1
10,1,2079,3107,876,559,1
11,1,926,1590,195,135,1
11,1,1186,1733,157,138,1
11,1,1514,1631,281,176,1
11,1,1829,2988,250,217,1
11,1,2086,3102,874,526,1
12,1,949,1612,228,154,1
12,1,1212,1743,181,166,1
12,1,1589,1609,241,158,1
12,1,1857,2976,298,209,1
12,1,2155,3107,876,543,1
13,1,982,1601,236,142,1
13,1,1270,1736,162,145,1
13,1,1630,1601,244,144,1
13,1,1907,2982,263,216,1
13,1,2164,3114,891,535,1
14,1,1017,1595,221,126,1
14,1,1283,1738,188,143,1
14,1,1655,1614,245,176,1
14,1,1931,2976,276,212,1
14,1,2187,3114,889,553,1
15,1,1049,1597,223,121,1
15,1,1326,1739,185,144,1
15,1,1687,1601,252,150,1
15,1,1974,2953,258,183,1
15,1,2231,3119,874,567,1
16,1,1067,1612,235,157,1
16,1,1345,1740,198,145,1
16,1,1693,1605,283,169,1
16,1,2010,2981,269,210,1
16,1,2280,3109,846,537,1
17,1,1112,1600,226,133,1
17,1,1395,1748,203,153,1
17,1,1738,1612,279,172,1
17,1,2050,2957,261,174,1
17,1,2314,3122,907,575,1
18,1,1157,1593,241,141,1
18,1,1431,1745,212,147,1
18,1,1788,1600,257,157,1
18,1,2089,2978,256,200,1
18,1,2341,3087,845,521,1
19,1,1191,1601,235,139,1
19,1,1446,1754,230,173,1
19,1,1811,1610,275,166,1
19,1,2128,2953,266,167,1
19,1,2397,3116,828,550,1
19,1,419,3040,39,50,1
20,1,1214,1607,243,145,1
20,1,1520,1751,194,168,1
20,1,1836,1609,284,170,1
20,1,2155,2966,263,179,1
20,1,2384,3064,850,500,1
20,1,427,3063,36,67,1
21,1,1276,1586,198,137,1
21,1,1562,1757,243,185,1
21,1,1987,1603,206,146,1
21,1,2246,2944,256,155,1
21,1,2509,3097,775,538,1
21,1,436,3075,69,89,1
22,1,1338,1607,241,150,1
22,1,1619,1752,245,171,1
22,1,2043,1605,207,167,1
22,1,2286,2957,265,170,1
22,1,2551,3107,753,555,1
22,1,436,3090,95,116,1
23,1,1381,1615,250,158,1
23,1,1660,1755,247,182,1
23,1,2072,1605,217,168,1
23,1,2330,2949,271,173,1
23,1,2599,3084,735,529,1
23,1,451,3087,85,96,1
24,1,453,3094,86,113,1
24,1,1395,1579,207,129,1
24,1,1693,1760,267,170,1
24,1,2110,1605,209,167,1
24,1,2355,2941,262,152,1
24,1,2636,3068,734,481,1
25,1,462,3093,102,114,1
25,1,1424,1583,214,145,1
25,1,1743,1762,281,200,1
25,1,2148,1602,216,164,1
25,1,2394,2934,268,153,1
25,1,2665,3089,757,559,1
26,1,483,3093,103,105,1
26,1,1471,1576,208,128,1
26,1,1786,1776,285,212,1
26,1,2195,1599,212,171,1
